Model,MAE (mm),RMSE (mm),R²,Training time (sec)
SimpleRNN,5.253563319924438,12.155540584489682,0.12333776036519228,33.876612186431885
LSTM,5.152793963604251,11.738465693566893,0.1824648855420814,29.669585704803467
Climatology,7.056617661981079,12.982524949852435,-4.782700798289241e-06,0.0
Persistence,6.161437908496733,12.88264526483625,0.015322891130276184,0.0
